"# BBC Backstage world weather locations, as of 2 Nov 2008",,,,,
"# city, country, latitude, longtitude, observation feed, forecast feed",,,,,
RABAT-SALE, MOROCCO,34.05,-6.77,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/131.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/131.xml
SEYCHELLES, SEYCHELLES,-4.67,55.52,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/132.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/132.xml
TABUK, SAUDI ARABIA,28.37,36.6,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/133.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/133.xml
TANGIER, MOROCCO,35.73,-5.9,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/134.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/134.xml
TRIPOLI, LIBYA,32.67,13.15,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/135.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/135.xml
INNSBRUCK, AUSTRIA,47.27,11.35,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/136.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/136.xml
LOCARNO, SWITZERLAND,46.17,8.78,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/137.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/137.xml
SALZBURG, AUSTRIA,47.78,13.05,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/138.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/138.xml
ZURICH, SWITZERLAND,47.38,8.57,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/139.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/139.xml
ALMATY, KAZAKHSTAN,43.23,76.93,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/140.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/140.xml
ANTALYA, TURKEY,36.7,30.73,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/141.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/141.xml
BISHKEK, KYRGYZSTAN,42.85,74.53,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/142.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/142.xml
BODRUM, TURKEY,37.03,27.43,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/143.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/143.xml
MUMBAI, INDIA,19.12,72.85,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/144.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/144.xml
KOLKATA, INDIA,22.65,88.45,http://feeds.bbc.co.uk/weather/feeds/rss/obs/world/145.xml,http://feeds.bbc.co.uk/weather/feeds/rss/5day/world/145.xml
